,lastReportTime,meterType,slaveAddr,blockId,wire,freq,p_sum,ae_tot,re_tot,session,weekend,Temperature
0,2020-07-01 00:00:00,1.0,3.0,0.0,1.0,59.976181818181814,88042.78181818181,386110.50363636354,152276442.14727274,1,0,27.2
1,2020-07-01 01:00:00,1.0,3.0,0.0,1.0,59.989833333333344,151474.13333333336,386237.01833333337,161062040.47166666,0,0,29.1
2,2020-07-01 02:00:00,1.0,3.0,0.0,1.0,60.00443939393939,151392.1939393939,386388.27787878795,175378285.4166667,0,0,28.9
3,2020-07-01 03:00:00,1.0,3.0,0.0,1.0,59.99816666666667,162370.06666666668,386209.94,161062055.54666668,0,0,28.6
4,2020-07-01 04:00:00,1.0,3.0,0.0,1.0,59.99133333333333,102104.36666666667,386684.13,143166006.70250002,0,0,28.5
5,2020-07-01 05:00:00,1.0,3.0,0.0,1.0,59.99749999999999,144624.65,382735.95499999996,153903618.2866667,0,0,28.6
6,2020-07-01 06:00:00,1.0,3.0,0.0,1.0,59.979166666666664,168217.74999999997,386966.1533333334,128849791.74166667,0,0,28.6
7,2020-07-01 07:00:00,1.0,3.0,0.0,1.0,60.00500000000001,165171.76666666666,387133.7166666667,139587254.715,2,0,29.2
8,2020-07-01 08:00:00,1.0,3.0,0.0,1.0,60.011090909090896,165353.14363636365,387294.43563636363,132754337.19999997,2,0,30.7
9,2020-07-01 09:00:00,1.0,3.0,0.0,1.0,60.01249999999999,145202.51666666666,387445.025,161061887.435,2,0,32.5
10,2020-07-01 10:00:00,1.0,3.0,0.0,1.0,60.001,89567.16666666667,387561.80333333334,171798885.5833333,2,0,33.4
11,2020-07-01 11:00:00,1.0,3.0,0.0,1.0,59.98533333333332,66774.9,387642.71499999997,171798803.44333333,2,0,33.7
12,2020-07-01 12:00:00,1.0,3.0,0.0,1.0,59.9920303030303,46462.67878787879,387698.1010606061,171798835.20499998,2,0,34.4
13,2020-07-01 13:00:00,1.0,3.0,0.0,1.0,59.99133333333333,19823.76666666667,387734.64,171798838.99666667,3,0,34.1
14,2020-07-01 14:00:00,1.0,3.0,0.0,1.0,60.00599999999999,14137.566666666666,387750.775,171798808.65166667,3,0,31.3
15,2020-07-01 15:00:00,1.0,3.0,0.0,1.0,59.99633333333334,10253.91,387763.5466666667,171798788.98499998,3,0,29.5
16,2020-07-01 16:00:00,1.0,3.0,0.0,1.0,59.988166666666665,8735.115999999998,387773.3583333333,171798712.59333333,3,0,27.5
17,2020-07-01 17:00:00,1.0,3.0,0.0,1.0,60.01036363636363,6071.3503197492155,387779.6418181818,171798694.4,3,0,26.2
18,2020-07-01 18:00:00,1.0,3.0,0.0,1.0,60.00966666666667,6401.402298850575,379642.1266666666,171798694.4,3,0,26.9
19,2020-07-01 19:00:00,1.0,3.0,0.0,1.0,60.03827272727273,6482.503448275862,387791.36772727274,171798694.4,4,0,27.1
20,2020-07-01 20:00:00,1.0,3.0,0.0,1.0,59.99033333333334,8795.736997126436,387799.475,171798694.4,4,0,27.5
21,2020-07-01 21:00:00,1.0,3.0,0.0,1.0,59.99583333333335,6862.151041666667,377462.44666666666,171798694.4,4,0,27.3
22,2020-07-01 22:00:00,1.0,3.0,0.0,1.0,60.008500000000005,6331.109375,377728.49000000005,171798694.4,4,0,27.3
23,2020-07-01 23:00:00,1.0,3.0,0.0,1.0,59.96833333333334,16675.174999999996,377476.8633333333,168219570.7083333,4,0,27.5
24,2020-07-02 00:00:00,1.0,3.0,0.0,1.0,60.014590909090906,89290.22121212122,387866.8010606061,157482399.2987879,1,0,25.0
25,2020-07-02 01:00:00,1.0,3.0,0.0,1.0,60.001090909090905,151394.89090909093,387991.4909090909,167894925.4018182,0,0,27.1
26,2020-07-02 02:00:00,1.0,3.0,0.0,1.0,60.00033333333333,158688.15000000002,388143.46,128849806.73499998,0,0,26.9
27,2020-07-02 03:00:00,1.0,3.0,0.0,1.0,59.98084848484848,147247.86666666667,388298.90242424246,132428774.05500002,0,0,27.0
28,2020-07-02 04:00:00,1.0,3.0,0.0,1.0,60.015666666666675,87779.31666666667,388421.38666666666,139586752.47166663,0,0,26.9
29,2020-07-02 05:00:00,1.0,3.0,0.0,1.0,60.01583333333334,127095.7,388518.04500000004,139587079.16666666,0,0,26.8
30,2020-07-02 06:00:00,1.0,3.0,0.0,1.0,60.01833333333334,163901.98333333334,388669.9533333333,132428910.62833336,0,0,27.3
31,2020-07-02 07:00:00,1.0,3.0,0.0,1.0,59.99066666666668,150776.33333333334,381339.67333333334,139587183.32333332,2,0,28.1
32,2020-07-02 08:00:00,1.0,3.0,0.0,1.0,59.96916666666666,142636.96666666667,378576.2566666667,132428885.35499999,2,0,30.1
33,2020-07-02 09:00:00,1.0,3.0,0.0,1.0,60.02183333333333,127594.41666666667,389118.4783333333,143166110.805,2,0,31.8
34,2020-07-02 10:00:00,1.0,3.0,0.0,1.0,59.982545454545445,94610.16363636364,389222.27454545454,156180811.3490909,2,0,32.9
35,2020-07-02 11:00:00,1.0,3.0,0.0,1.0,59.96031818181818,65450.34242424242,389300.0496969697,171798785.57833332,2,0,33.4
36,2020-07-02 12:00:00,1.0,3.0,0.0,1.0,59.977666666666664,44731.03333333334,381855.33833333326,168219634.80166668,2,0,34.8
37,2020-07-02 13:00:00,1.0,3.0,0.0,1.0,60.006499999999996,30361.93333333333,389393.35333333333,171798733.565,3,0,33.3
38,2020-07-02 14:00:00,1.0,3.0,0.0,1.0,60.00566666666666,12743.352499999999,389414.90499999997,171798729.49,3,0,27.8
