,lastReportTime,meterType,slaveAddr,blockId,wire,freq,p_sum,ae_tot,re_tot,session,weekend,Sequence,Temp(¢J),wind direction,wind speed(m/s),Rainfall(mm)
1428,2020-08-29 12:00:00,3.0,2.0,4.456521739130435,1.0,59.98369565217395,3732.771739130435,32686.929347826102,28209.346739130433,2.0,1.0,1524,30.7,65,3.8,0
1429,2020-08-29 13:00:00,3.0,2.0,4.440860215053763,1.0,59.99591397849456,918.763440860215,32594.00752688174,28031.39784946237,3.0,1.0,1523,29.7,73,3.7,0
1430,2020-08-29 14:00:00,3.0,2.0,4.419354838709677,1.0,60.0320430107527,932.3870967741935,32741.840860215067,27653.202150537636,3.0,1.0,1522,29.2,76,4.3,0
1431,2020-08-29 15:00:00,3.0,2.0,4.4772727272727275,1.0,60.01715909090913,241.9659090909091,32502.303409090928,28405.389772727285,3.0,1.0,1521,29.8,71,3.0,0
1432,2020-08-29 16:00:00,3.0,2.0,4.5,1.0,60.01989583333337,249.5,32479.444791666687,27960.238541666677,3.0,1.0,1520,30.1,73,3.8,0
1433,2020-08-29 17:00:00,3.0,2.0,4.4361702127659575,1.0,60.0162765957447,272.43617021276594,32490.600000000024,28022.89148936169,3.0,1.0,1519,29.8,76,3.9,0
1434,2020-08-29 18:00:00,3.0,2.0,4.4361702127659575,1.0,59.98085106382972,247.17021276595744,32490.86276595748,28023.28191489362,3.0,1.0,1518,29.6,80,3.9,0
1435,2020-08-29 19:00:00,3.0,2.0,4.46067415730337,1.0,59.993146067415665,239.35955056179776,32590.016853932604,27793.39101123596,4.0,1.0,1517,29.5,81,2.8,0
1436,2020-08-29 20:00:00,3.0,2.0,4.536842105263158,1.0,59.99926315789473,272.09473684210525,32377.58631578949,28119.088421052642,4.0,1.0,1516,29.8,77,3.5,0
1437,2020-08-29 21:00:00,3.0,2.0,4.463157894736842,1.0,60.0032631578947,242.03157894736842,32749.043157894754,28013.380000000016,4.0,1.0,1515,29.6,78,4.1,0
1438,2020-08-29 22:00:00,3.0,2.0,4.4361702127659575,1.0,59.975319148936215,265.78723404255317,32491.879787234066,28024.813829787243,4.0,1.0,1514,29.4,78,3.8,0
1439,2020-08-29 23:00:00,3.0,2.0,4.4361702127659575,1.0,60.00457446808513,246.03191489361703,32492.142553191512,28025.176595744677,4.0,1.0,1513,29.2,79,3.3,0
1440,2020-08-30 00:00:00,3.0,2.0,4.453488372093023,1.0,59.99279069767432,2506.0813953488373,32264.83953488371,27693.936046511633,1.0,1.0,1512,28.9,81,2.6,0
