,lastReportTime,p_sum,weekend,session,ae_tot,Temp(¢J)
0,2020-07-01 00:00:00,134229.86853291513,0,1,386110.50363636366,27.2
1,2020-07-01 01:00:00,135069.55724927754,0,0,386237.01833333325,29.1
2,2020-07-01 02:00:00,135909.24596563992,0,0,382489.77288135607,28.9
3,2020-07-01 03:00:00,136748.93468200232,0,0,386209.94000000006,28.6
4,2020-07-01 04:00:00,137588.6233983647,0,0,386684.13000000006,28.5
5,2020-07-01 05:00:00,138428.3121147271,0,0,382735.955,28.6
6,2020-07-01 06:00:00,136494.86831307423,0,0,386966.15333333344,28.6
7,2020-07-01 07:00:00,126796.50796381895,0,2,387133.71666666656,29.2
8,2020-07-01 08:00:00,115269.95362380869,0,2,383001.8296296296,30.7
9,2020-07-01 09:00:00,101794.27180562686,0,2,387445.025,32.5
10,2020-07-01 10:00:00,93444.23029047536,0,2,387561.8033333335,33.4
11,2020-07-01 11:00:00,81090.63629047536,0,2,387642.715,33.7
12,2020-07-01 12:00:00,66350.05450136165,0,2,383755.8983050846,34.4
13,2020-07-01 13:00:00,51916.38501337837,0,3,387734.6399999999,34.1
14,2020-07-01 14:00:00,38023.05194373788,0,3,387750.7749999999,31.3
15,2020-07-01 15:00:00,25622.435610143322,0,3,387763.5466666668,29.5
16,2020-07-01 16:00:00,18103.797826052414,0,3,387773.3583333335,27.5
17,2020-07-01 17:00:00,12608.907769234236,0,3,387779.6418181819,26.2
18,2020-07-01 18:00:00,10052.817360913741,0,3,379642.1266666668,26.9
19,2020-07-01 19:00:00,16394.408680893197,0,4,384108.9677966101,27.1
20,2020-07-01 20:00:00,28872.347248386304,0,4,387799.47500000015,27.5
21,2020-07-01 21:00:00,42366.36906656811,0,4,377462.4466666669,27.3
22,2020-07-01 22:00:00,55040.68980000417,0,4,377728.48999999993,27.3
23,2020-07-01 23:00:00,62468.68674063303,0,4,377476.8633333333,27.5
24,2020-07-02 00:00:00,73440.8956225557,0,1,386837.7779661017,25.0
25,2020-07-02 01:00:00,87750.73896155646,0,0,387991.4909090912,27.1
26,2020-07-02 02:00:00,100658.06590121164,0,0,388143.4599999999,26.9
27,2020-07-02 03:00:00,113001.23095802982,0,0,384619.540677966,27.0
28,2020-07-02 04:00:00,124025.16798454497,0,0,388421.3866666665,26.9
29,2020-07-02 05:00:00,131110.16695148713,0,0,388518.045,26.8
