,lastReportTime,p_sum,weekend,session,ae_tot,Temp(¢J)
32,2020-08-08 20:00:00,10901.017526533498,1,4,566928.5016666666,30.2
33,2020-08-08 21:00:00,12365.088884628558,1,4,566946.1083333333,29.7
34,2020-08-08 22:00:00,14118.499180195058,1,4,566963.4066666669,29.5
35,2020-08-08 23:00:00,15181.137042562577,1,4,566979.6833333332,29.6
36,2020-08-09 00:00:00,16252.904203332842,1,1,566994.0789090911,29.4
37,2020-08-09 01:00:00,17454.06066250585,1,0,567009.0,29.2
38,2020-08-09 02:00:00,18996.820056445245,1,0,567031.2583333333,29.0
39,2020-08-09 03:00:00,20861.889960908597,1,0,567060.0866666667,28.5
40,2020-08-09 04:00:00,22417.005696635773,1,0,567084.0583333332,28.4
41,2020-08-09 05:00:00,23667.45614595657,1,0,567108.7483333333,28.1
42,2020-08-09 06:00:00,24015.117043475504,1,0,567131.1366666667,27.9
43,2020-08-09 07:00:00,23599.531444539436,1,2,567156.3393939394,28.6
44,2020-08-09 08:00:00,23323.248622589526,1,2,567182.8133333335,29.6
45,2020-08-09 09:00:00,22869.06247540338,1,2,567212.2436363635,30.7
46,2020-08-09 10:00:00,22633.98022432113,1,2,567235.2816666667,32.5
47,2020-08-09 11:00:00,21664.196528115375,1,2,567256.3537878789,32.3
48,2020-08-09 12:00:00,21047.28776824779,1,2,567270.6533333333,33.2
49,2020-08-09 13:00:00,19996.112720983703,1,3,567288.2946969697,32.9
50,2020-08-09 14:00:00,18317.779773222417,1,3,567312.3483333334,32.8
51,2020-08-09 15:00:00,18218.6602328994,1,3,567333.9516666668,31.8
52,2020-08-09 16:00:00,19690.226899566067,1,3,567350.3616666667,32.3
53,2020-08-09 17:00:00,21609.511748050914,1,3,567365.0016666666,32.2
54,2020-08-09 18:00:00,25443.475384414553,1,3,567380.8763636363,31.7
55,2020-08-09 19:00:00,32954.00775356056,1,4,567396.0503030302,31.1
56,2020-08-09 20:00:00,41456.57221637047,1,4,567412.8881818181,30.6
57,2020-08-09 21:00:00,49691.86464061289,1,4,567449.1716666665,30.3
58,2020-08-09 22:00:00,59733.79042654709,1,4,567487.6766666665,30.3
59,2020-08-09 23:00:00,69761.13793100342,1,4,567531.755,29.9
60,2020-08-10 00:00:00,80756.84025099479,0,1,567613.8766666667,27.8
61,2020-08-10 01:00:00,92802.41778750066,0,0,567730.031969697,28.9
62,2020-08-10 02:00:00,104081.06391184572,0,0,567845.1766666665,28.4
63,2020-08-10 03:00:00,114340.30936639117,0,0,567958.0545454546,28.1
64,2020-08-10 04:00:00,120269.44269972449,0,0,568079.5483333332,28.1
65,2020-08-10 05:00:00,122223.16790633608,0,0,568210.5583333332,27.7
66,2020-08-10 06:00:00,117820.35881542697,0,0,568352.6033333333,27.7
67,2020-08-10 07:00:00,111446.98223140495,0,2,568501.78,28.7
68,2020-08-10 08:00:00,105384.44283746554,0,2,568654.6383333333,31.1
69,2020-08-10 09:00:00,97287.5191460055,0,2,568787.2016666668,32.1
70,2020-08-10 10:00:00,88005.46033057848,0,2,568875.0709090908,32.6
71,2020-08-10 11:00:00,76932.00178674138,0,2,568943.3866666666,33.3
72,2020-08-10 12:00:00,64898.172549312156,0,2,568990.12,35.2
73,2020-08-10 13:00:00,52332.41086337904,0,3,563707.7116666667,34.4
74,2020-08-10 14:00:00,39623.49551682084,0,3,566202.4516666668,33.6
75,2020-08-10 15:00:00,31673.017906336077,0,3,569104.1892424242,34.1
76,2020-08-10 16:00:00,27938.44903581266,0,3,569123.5866666667,32.4
77,2020-08-10 17:00:00,25741.39676308539,0,3,569138.0283333333,29.8
78,2020-08-10 18:00:00,26276.164944903576,0,3,569153.2583333333,28.8
79,2020-08-10 19:00:00,31768.44373278236,0,4,569170.655,27.7
80,2020-08-10 20:00:00,40460.802134986225,0,4,569188.3433333335,27.2
81,2020-08-10 21:00:00,50207.644283746544,0,4,569215.9454545454,27.2
82,2020-08-10 22:00:00,60781.59070637154,0,4,569248.7383333335,27.9
83,2020-08-10 23:00:00,70739.91994380078,0,4,569288.265,27.9
84,2020-08-11 00:00:00,80788.89182257136,0,1,569368.4583333333,26.8
85,2020-08-11 01:00:00,90299.8552407549,0,0,569490.9190909092,27.3
86,2020-08-11 02:00:00,99412.72982093663,0,0,569623.1866666665,27.0
87,2020-08-11 03:00:00,106234.30075757574,0,0,569755.8733333333,27.0
88,2020-08-11 04:00:00,111806.37121212119,0,0,569881.6250000001,26.9
89,2020-08-11 05:00:00,113366.76363636363,0,0,570007.2613636365,27.1
90,2020-08-11 06:00:00,108765.92988980713,0,0,570120.7036363635,27.2
91,2020-08-11 07:00:00,99792.70330578511,0,2,570233.3550000001,28.2
92,2020-08-11 08:00:00,90299.16542699724,0,2,570347.5616666668,30.2
93,2020-08-11 09:00:00,80769.21088154268,0,2,570449.2866666667,32.0
94,2020-08-11 10:00:00,71681.9932506887,0,2,570531.4383333332,32.4
95,2020-08-11 11:00:00,62017.57245179062,0,2,570592.801060606,32.3
96,2020-08-11 12:00:00,52625.40654632448,0,2,570633.9866666666,34.6
97,2020-08-11 13:00:00,43151.61451355661,0,3,570663.2966666665,30.8
98,2020-08-11 14:00:00,34162.19068798027,0,3,570689.545,26.5
99,2020-08-11 15:00:00,27586.334090909088,0,3,570711.9418181818,26.3
100,2020-08-11 16:00:00,24969.587121212116,0,3,570729.7416666668,26.7
101,2020-08-11 17:00:00,23509.24511019284,0,3,570744.2783333333,26.9
102,2020-08-11 18:00:00,25962.67086776859,0,3,570757.6183333334,26.9
103,2020-08-11 19:00:00,32926.84428374655,0,4,570771.3366666667,27.0
104,2020-08-11 20:00:00,44135.138498622575,0,4,570786.1133333333,27.0
105,2020-08-11 21:00:00,54215.89855371899,0,4,570821.5650000001,27.1
106,2020-08-11 22:00:00,63927.40612947656,0,4,570860.9983333333,27.1
107,2020-08-11 23:00:00,72440.95881180222,0,4,570906.4816666667,27.0
108,2020-08-12 00:00:00,85803.53569305493,0,1,570982.7672727272,28.0
109,2020-08-12 01:00:00,98999.94560678554,0,0,571110.0763636364,26.6
110,2020-08-12 02:00:00,109590.26432506886,0,0,571251.6716666669,26.4
111,2020-08-12 03:00:00,116949.04848484846,0,0,571382.6183333334,26.5
112,2020-08-12 04:00:00,123521.376584022,0,0,571497.175,26.1
113,2020-08-12 05:00:00,126364.56253443522,0,0,571628.3433333333,26.0
114,2020-08-12 06:00:00,121121.50881542698,0,0,571791.5577272726,26.3
115,2020-08-12 07:00:00,110362.5100550964,0,2,571939.8066666665,27.3
116,2020-08-12 08:00:00,99954.98013085398,0,2,572071.0242424242,30.3
117,2020-08-12 09:00:00,89965.2802571166,0,2,572183.3412121213,32.5
118,2020-08-12 10:00:00,81462.18581267216,0,2,572283.4412121212,33.0
119,2020-08-12 11:00:00,68027.16115702479,0,2,572350.0666666668,34.9
120,2020-08-12 12:00:00,54800.94293425656,0,2,572386.2899999999,33.8
121,2020-08-12 13:00:00,43262.48466870557,0,3,572410.9149999999,36.4
122,2020-08-12 14:00:00,33285.76793474339,0,3,572425.275,36.4
123,2020-08-12 15:00:00,25212.9553052353,0,3,572438.75,29.2
124,2020-08-12 16:00:00,20357.3814760342,0,3,572451.3027272726,28.1
125,2020-08-12 17:00:00,19401.330787328963,0,3,572463.0886363636,28.8
126,2020-08-12 18:00:00,21370.08698567607,0,3,572474.4561818183,28.8
127,2020-08-12 19:00:00,28893.556303857884,0,4,572486.5249999998,29.0
128,2020-08-12 20:00:00,41299.11829880738,0,4,572501.465,29.3
129,2020-08-12 21:00:00,53644.77348705348,0,4,572534.2166666666,28.7
130,2020-08-12 22:00:00,66163.90227493226,0,4,572569.3301515151,28.8
131,2020-08-12 23:00:00,76923.2634729071,0,4,572611.0892424242,28.3
132,2020-08-13 00:00:00,90465.17779906414,0,1,572685.1816666668,27.8
133,2020-08-13 01:00:00,102915.25582779216,0,0,572815.1783333332,28.0
134,2020-08-13 02:00:00,113609.12493112945,0,0,572967.2492424243,27.7
135,2020-08-13 03:00:00,122141.95977961429,0,0,573112.177121212,27.3
136,2020-08-13 04:00:00,129566.42258953166,0,0,573243.8356060606,27.0
137,2020-08-13 05:00:00,131895.07561983468,0,0,570497.3883333334,26.8
138,2020-08-13 06:00:00,130057.30468319556,0,0,573545.1916666668,26.7
139,2020-08-13 07:00:00,121666.66969696968,0,2,573691.2631818182,27.7
140,2020-08-13 08:00:00,111249.63016528924,0,2,573829.1833333332,30.0
141,2020-08-13 09:00:00,99598.14724517903,0,2,573956.8133333335,32.9
142,2020-08-13 10:00:00,89803.02019283746,0,2,574054.7449999999,34.6
143,2020-08-13 11:00:00,76588.46764550729,0,2,574132.7478787878,35.7
144,2020-08-13 12:00:00,64082.69663677391,0,2,574199.2631818181,33.9
145,2020-08-13 13:00:00,52465.52704237735,0,3,574247.5449999999,36.5
146,2020-08-13 14:00:00,41853.57333391945,0,3,574273.0766666664,36.2
147,2020-08-13 15:00:00,32966.18678778286,0,3,574295.0974242424,30.3
148,2020-08-13 16:00:00,28718.469983375155,0,3,574313.5516666665,31.8
149,2020-08-13 17:00:00,23977.359101832455,0,3,565035.4948484849,31.5
150,2020-08-13 18:00:00,22675.322118361382,0,3,574343.6683333332,28.4
151,2020-08-13 19:00:00,28846.023633512894,0,4,574361.405,28.0
152,2020-08-13 20:00:00,38699.67060320986,0,4,574380.2581818182,27.5
153,2020-08-13 21:00:00,49321.507986129975,0,4,574406.7150000001,27.3
154,2020-08-13 22:00:00,59940.11053346014,0,4,574436.0499999999,27.3
155,2020-08-13 23:00:00,69529.96790582986,0,4,574468.5216666667,27.4
156,2020-08-14 00:00:00,80933.59356083251,0,1,574538.8983333334,27.6
157,2020-08-14 01:00:00,92480.79988637028,0,0,574662.5316666666,27.6
158,2020-08-14 02:00:00,104133.46673553718,0,0,574797.4066666666,26.8
159,2020-08-14 03:00:00,114158.0500688705,0,0,574939.3349999997,26.4
160,2020-08-14 04:00:00,121064.83188705232,0,0,575060.6166666666,26.5
161,2020-08-14 05:00:00,122158.42355371898,0,0,575185.4290909091,26.2
162,2020-08-14 06:00:00,116430.52052341597,0,0,575317.7783333334,26.0
163,2020-08-14 07:00:00,106701.16143250687,0,2,575458.6066666667,26.9
164,2020-08-14 08:00:00,95026.34251311782,0,2,575609.0383333333,29.4
165,2020-08-14 09:00:00,83952.10386252188,0,2,575735.54,31.4
166,2020-08-14 10:00:00,74298.11525705626,0,2,575810.3266666668,33.0
167,2020-08-14 11:00:00,62914.77408336709,0,2,575859.095,34.5
168,2020-08-14 12:00:00,51011.57565825879,0,2,575889.7516666667,34.9
169,2020-08-14 13:00:00,38494.50579440355,0,3,575907.0583333332,36.3
170,2020-08-14 14:00:00,26807.43914744873,0,3,575922.3527272728,33.6
171,2020-08-14 15:00:00,18441.848444667066,0,3,575940.1883333332,35.4
172,2020-08-14 16:00:00,14334.673079997947,0,3,575960.6666666667,32.8
173,2020-08-14 17:00:00,11603.163053441378,0,3,575981.5816666664,32.3
174,2020-08-14 18:00:00,10493.181378805324,0,3,576001.7366666667,27.4
175,2020-08-14 19:00:00,10479.55321617619,0,4,576022.2050000001,27.4
176,2020-08-14 20:00:00,10871.548763547355,0,4,576042.4733333334,27.5
177,2020-08-14 21:00:00,11183.927686627629,0,4,576063.8974242422,27.7
178,2020-08-14 22:00:00,11612.26630400501,0,4,576085.835,27.7
179,2020-08-14 23:00:00,12227.813651492172,0,4,576106.491090909,28.2
180,2020-08-15 00:00:00,13303.699201621932,1,1,576124.3450000001,28.1
181,2020-08-15 01:00:00,14262.721884744886,1,0,576138.8316666668,27.1
182,2020-08-15 02:00:00,15198.390984398502,1,0,576154.3956060606,27.1
183,2020-08-15 03:00:00,15801.819366929523,1,0,576170.1000000001,27.0
184,2020-08-15 04:00:00,16184.484315284724,1,0,576186.5006060606,26.8
185,2020-08-15 05:00:00,16400.16105185038,1,0,576205.1283333332,26.6
186,2020-08-15 06:00:00,16265.608941009566,1,0,576228.8316666667,26.6
187,2020-08-15 07:00:00,15881.053190968947,1,2,576252.0850000001,27.0
188,2020-08-15 08:00:00,15406.688697465986,1,2,576271.402909091,29.5
