,Unnamed: 0,lastReportTime,meterType,slaveAddr,blockId,wire,freq,p_sum,ae_tot,re_tot,session,weekend,Temperature
1554,1554,2020-09-03 18:00:00,1.0,3.0,0.0,1.0,60.01916666666666,11086.389330206062,492369.64,171798694.4,3,0,29.5
1555,1555,2020-09-03 19:00:00,1.0,3.0,0.0,1.0,60.01178205128204,16473.355060233607,492377.0017948719,171798694.77666667,4,0,29.1
1556,1556,2020-09-03 20:00:00,1.0,3.0,0.0,1.0,60.00384848484848,28714.81176697039,492384.01727272745,171798694.4,4,0,28.8
1557,1557,2020-09-03 21:00:00,1.0,3.0,0.0,1.0,60.01033333333335,42095.85713427984,492390.9533333333,171798694.63,4,0,28.7
1558,1558,2020-09-03 22:00:00,1.0,3.0,0.0,1.0,59.99512121212122,56182.787639330345,492397.1416666667,171798694.4,4,0,28.4
1559,1559,2020-09-03 23:00:00,1.0,3.0,0.0,1.0,59.98898181818182,64044.62662922934,492407.5327272727,171798711.3090909,4,0,28.2
1560,1560,2020-09-04 00:00:00,1.0,3.0,0.0,1.0,60.01001515151514,77420.84834640105,492456.4521212122,153903208.69454545,1,0,27.6
1561,1561,2020-09-04 01:00:00,1.0,3.0,0.0,1.0,60.05466666666666,91312.76071625341,492590.6166666666,171799127.125,0,0,27.7
1562,1562,2020-09-04 02:00:00,1.0,3.0,0.0,1.0,59.97883333333333,105608.978466483,492745.8916666667,171799226.28333333,0,0,27.2
1563,1563,2020-09-04 03:00:00,1.0,3.0,0.0,1.0,59.98483333333333,121132.5407897153,484162.1716666667,171799248.185,0,0,26.8
1564,1564,2020-09-04 04:00:00,1.0,3.0,0.0,1.0,60.00383333333334,134367.82523415974,493042.1433333334,171798840.23333332,0,0,26.6
1565,1565,2020-09-04 05:00:00,1.0,3.0,0.0,1.0,60.00116666666668,139210.59944903577,493161.01666666655,164640904.10833332,0,0,26.2
1566,1566,2020-09-04 06:00:00,1.0,3.0,0.0,1.0,59.99833333333334,135589.2143250688,493321.4783333333,171799157.93666667,0,0,26.1
1567,1567,2020-09-04 07:00:00,1.0,3.0,0.0,1.0,59.98781818181818,126118.3515151515,493478.8963636364,163990280.94,2,0,26.8
1568,1568,2020-09-04 08:00:00,1.0,3.0,0.0,1.0,59.98233333333334,114929.2786501377,493642.7516666668,171799500.32,2,0,28.7
1569,1569,2020-09-04 09:00:00,1.0,3.0,0.0,1.0,59.98700000000001,101992.62698037889,493811.34833333344,171799130.61833334,2,0,30.5
1570,1570,2020-09-04 10:00:00,1.0,3.0,0.0,1.0,59.97149999999999,94567.80960251867,493920.46666666673,168219773.8766667,2,0,31.7
1571,1571,2020-09-04 11:00:00,1.0,3.0,0.0,1.0,59.98333333333333,81311.07671051889,493985.09666666656,168219606.51000002,2,0,33.6
1572,1572,2020-09-04 12:00:00,1.0,3.0,0.0,1.0,59.97936363636363,67298.72389666608,494033.52424242423,171798732.63636363,2,0,33.0
1573,1573,2020-09-04 13:00:00,1.0,3.0,0.0,1.0,60.00177272727272,52953.70287353338,484512.9657575757,171798728.71636364,3,0,32.9
1574,1574,2020-09-04 14:00:00,1.0,3.0,0.0,1.0,59.99933333333333,37428.590659556874,494101.33333333343,171798733.41166666,3,0,32.9
1575,1575,2020-09-04 15:00:00,1.0,3.0,0.0,1.0,60.01250000000001,24152.37942663397,494114.3366666667,171798744.11833334,3,0,32.2
1576,1576,2020-09-04 16:00:00,1.0,3.0,0.0,1.0,59.99581818181819,17844.111461266002,494123.6127272728,171798711.04727274,3,0,31.8
1577,1577,2020-09-04 17:00:00,1.0,3.0,0.0,1.0,59.98266666666667,13534.664862626549,494129.59,171798694.4,3,0,29.8
1578,1578,2020-09-04 18:00:00,1.0,3.0,0.0,1.0,59.960615384615394,10772.595854362085,494136.42769230757,171798694.57692307,3,0,29.3
1579,1579,2020-09-04 19:00:00,1.0,3.0,0.0,1.0,59.97083333333334,14214.899160147208,494143.52333333326,171798694.4,4,0,28.8
1580,1580,2020-09-04 20:00:00,1.0,3.0,0.0,1.0,59.97554545454547,24605.564190787558,494149.7877272727,171798694.93166667,4,0,28.5
1581,1581,2020-09-04 21:00:00,1.0,3.0,0.0,1.0,59.98233333333333,35439.76490198112,494156.2616666667,171798694.4,4,0,28.1
1582,1582,2020-09-04 22:00:00,1.0,3.0,0.0,1.0,60.01233333333335,47190.00536973847,494163.1983333334,171798694.4,4,0,27.9
1583,1583,2020-09-04 23:00:00,1.0,3.0,0.0,1.0,60.01033333333332,53206.15363813673,482661.0616666667,171798708.42833334,4,0,27.8
1584,1584,2020-09-05 00:00:00,1.0,3.0,0.0,1.0,59.99036363636365,64037.152760443,493643.93636363634,167894463.20727268,1,1,26.7
1585,1585,2020-09-05 01:00:00,1.0,3.0,0.0,1.0,60.00424242424244,75268.01951987404,494314.9865151515,160085880.7607576,0,1,27.3
1586,1586,2020-09-05 02:00:00,1.0,3.0,0.0,1.0,59.98683333333334,87584.26863158484,494445.9616666667,161061904.89166665,0,1,27.1
1587,1587,2020-09-05 03:00:00,1.0,3.0,0.0,1.0,60.00216666666667,98861.86309833021,494581.075,161061948.26333335,0,1,26.9
1588,1588,2020-09-05 04:00:00,1.0,3.0,0.0,1.0,59.99250000000001,106001.83696969695,478990.305,171798848.05833334,0,1,26.2
1589,1589,2020-09-05 05:00:00,1.0,3.0,0.0,1.0,59.99466666666666,109127.35363636361,494777.895,168220131.095,0,1,25.9
1590,1590,2020-09-05 06:00:00,1.0,3.0,0.0,1.0,59.98349999999999,106115.51537613898,494909.19666666654,171799344.35166666,0,1,25.8
1591,1591,2020-09-05 07:00:00,1.0,3.0,0.0,1.0,60.00883333333334,97400.57005933457,486273.1150000001,171799275.59833333,2,1,26.4
1592,1592,2020-09-05 08:00:00,1.0,3.0,0.0,1.0,60.02218181818182,88853.42460478912,495187.0256363636,163990175.99636364,2,1,28.9
1593,1593,2020-09-05 09:00:00,1.0,3.0,0.0,1.0,60.00383333333333,78431.44781351187,495293.4333333333,168219758.79000002,2,1,28.7
1594,1594,2020-09-05 10:00:00,1.0,3.0,0.0,1.0,59.96733333333334,73320.45384579734,495354.1916666667,164640538.39833334,2,1,29.4
1595,1595,2020-09-05 11:00:00,1.0,3.0,0.0,1.0,60.00963403263402,63277.89200779112,491030.4471911422,171798760.71818182,2,1,30.4
1596,1596,2020-09-05 12:00:00,1.0,3.0,0.0,1.0,60.01727272727273,52818.817509194276,495434.7246969697,171798739.65833333,2,1,33.0
1597,1597,2020-09-05 13:00:00,1.0,3.0,0.0,1.0,59.98766666666668,41122.708035957236,495470.49333333346,171798744.135,3,1,33.7
